round	accuracy	precision	recall	f1	specificity	loss
45	0.8134	0.8109	0.9948	0.8935	0.1429	0.4583075562663507
46	0.7708	0.7871	0.9716	0.8697	0.0286	0.5757461410634256
47	0.7688	0.7831	0.9768	0.8693	0.0000	0.565351308636723
48	0.7606	0.7824	0.9639	0.8637	0.0095	0.5665441605380848
49	0.7911	0.7914	0.9974	0.8826	0.0286	0.4463521228320283
50	0.7667	0.7826	0.9742	0.8680	0.0000	0.5505749684109355
51	0.7830	0.7862	0.9948	0.8783	0.0000	0.5525187681864805
52	0.7769	0.7860	0.9845	0.8741	0.0095	0.5597018352721594
53	0.8093	0.8101	0.9897	0.8910	0.1429	0.4641876745587774
54	0.7809	0.7917	0.9794	0.8756	0.0476	0.5747328945965148
55	0.7830	0.7885	0.9897	0.8777	0.0190	0.5802741678597164
56	0.7830	0.7897	0.9871	0.8774	0.0286	0.5562536828021267
57	0.7830	0.7862	0.9948	0.8783	0.0000	0.5486354169530826
58	0.7830	0.7885	0.9897	0.8777	0.0190	0.5690046006925877
59	0.7748	0.7891	0.9742	0.8720	0.0381	0.5746580379434507
60	0.7708	0.7871	0.9716	0.8697	0.0286	0.5768645157055342
61	0.7789	0.7853	0.9897	0.8757	0.0000	0.5565326174730265
62	0.7769	0.7860	0.9845	0.8741	0.0095	0.5693033399160727
63	0.7769	0.7848	0.9871	0.8744	0.0000	0.5632376626631416
64	0.8053	0.8017	1.0000	0.8899	0.0857	0.44443489687186544
65	0.7728	0.7875	0.9742	0.8710	0.0286	0.5597876253301712
66	0.7647	0.7822	0.9716	0.8667	0.0000	0.5593532436407528
67	0.7748	0.7844	0.9845	0.8731	0.0000	0.5521531024879386
68	0.7850	0.7889	0.9923	0.8790	0.0190	0.5532013314115054
69	0.8053	0.8029	0.9974	0.8897	0.0952	0.44813274198912506
70	0.7830	0.7897	0.9871	0.8774	0.0286	0.5714020949148261
71	0.8154	0.8100	1.0000	0.8950	0.1333	0.4579957729023133
72	0.8032	0.8050	0.9897	0.8879	0.1143	0.4621742490202796
73	0.7485	0.7857	0.9356	0.8541	0.0571	0.5695079942633
74	0.7728	0.7863	0.9768	0.8713	0.0190	0.5570742669370103
75	0.7769	0.7848	0.9871	0.8744	0.0000	0.5495428018905918
76	0.7748	0.7928	0.9665	0.8711	0.0667	0.5568315579674684
77	0.7647	0.7822	0.9716	0.8667	0.0000	0.5657621127904892
78	0.8195	0.8147	0.9974	0.8969	0.1619	0.45456994975919224
79	0.7789	0.7853	0.9897	0.8757	0.0000	0.5564015047816921
80	0.7809	0.7857	0.9923	0.8770	0.0000	0.5622059959024985
81	0.8235	0.8168	1.0000	0.8992	0.1714	0.4632134752128907
82	0.8073	0.8058	0.9948	0.8904	0.1143	0.44819238719544885
83	0.7688	0.7854	0.9716	0.8687	0.0190	0.5580824988613493
84	0.7627	0.7841	0.9639	0.8647	0.0190	0.5756252322945893
85	0.7830	0.7873	0.9923	0.8780	0.0095	0.5602303074144291
86	0.8337	0.8269	0.9974	0.9042	0.2286	0.4641366962161967
87	0.7789	0.7853	0.9897	0.8757	0.0000	0.5569646365567473
88	0.7870	0.7894	0.9948	0.8803	0.0190	0.5772689848056426
89	0.7809	0.7857	0.9923	0.8770	0.0000	0.5590644496018976
90	0.8032	0.8012	0.9974	0.8886	0.0857	0.45944608477767124
91	0.7830	0.7862	0.9948	0.8783	0.0000	0.5477965759007498
92	0.7688	0.7831	0.9768	0.8693	0.0000	0.5835479679777255
93	0.8032	0.8025	0.9948	0.8884	0.0952	0.45191808175593323
94	0.8256	0.8199	0.9974	0.9000	0.1905	0.46672090903188923
95	0.8073	0.8058	0.9948	0.8904	0.1143	0.4605363920278638
96	0.8316	0.8266	0.9948	0.9029	0.2286	0.46127698013755447
97	0.8195	0.8147	0.9974	0.8969	0.1619	0.44797372898822224
98	0.8073	0.8033	1.0000	0.8909	0.0952	0.439250862815723
99	0.7830	0.7873	0.9923	0.8780	0.0095	0.5644086641664193
100	0.8114	0.8092	0.9948	0.8925	0.1333	0.45126348024608365
101	0.7809	0.7857	0.9923	0.8770	0.0000	0.5603931857162546
102	0.7809	0.7857	0.9923	0.8770	0.0000	0.5531022767866034
103	0.7769	0.7848	0.9871	0.8744	0.0000	0.5588409166754126
104	0.7850	0.7866	0.9974	0.8795	0.0000	0.5575594194476564
105	0.7627	0.7853	0.9613	0.8644	0.0286	0.572398070533558
106	0.7728	0.7840	0.9820	0.8719	0.0000	0.5518970146263051
107	0.7688	0.7842	0.9742	0.8690	0.0095	0.5739466207034637
108	0.7586	0.7808	0.9639	0.8627	0.0000	0.5542833903306349
109	0.7505	0.7801	0.9510	0.8571	0.0095	0.5801394750611698
110	0.7465	0.7780	0.9485	0.8548	0.0000	0.5703008362273262
111	0.7830	0.7873	0.9923	0.8780	0.0095	0.5483374393504356
112	0.7890	0.7910	0.9948	0.8813	0.0286	0.5605922176902691
113	0.7688	0.7854	0.9716	0.8687	0.0190	0.5835683219447828
114	0.7769	0.7860	0.9845	0.8741	0.0095	0.5718650494669044
