client_id	round	val_accuracy	val_f1_score	val_loss	val_precision	val_recall
4	6	0.6647173489278753	0.7985948477751756	0.5407896276816698	0.6647173489278753	1.0
15	6	0.6596153846153846	0.7949015063731171	0.6041820229116119	0.6596153846153846	1.0
8	7	0.720532319391635	0.8375690607734807	0.531684991560183	0.720532319391635	1.0
9	7	0.6793168880455408	0.8090395480225989	0.5579339622259366	0.6793168880455408	1.0
4	7	0.6647173489278753	0.7985948477751756	0.5420988676559516	0.6647173489278753	1.0
3	7	0.7140186915887851	0.8331515812431843	0.5097786129468368	0.7140186915887851	1.0
6	7	0.7128309572301426	0.8323424494649228	0.5294564031029828	0.7128309572301426	1.0
12	8	0.6757281553398058	0.8055878928987195	0.5403096738964289	0.6744639376218323	1.0
15	8	0.6615384615384615	0.7958236658932715	0.5967147363365288	0.6608863198458574	1.0
11	8	0.7658349328214972	0.8673913043478261	0.4840410199129931	0.7658349328214972	1.0
2	8	0.7065868263473054	0.8280701754385965	0.5438820984779121	0.7065868263473054	1.0
9	8	0.6793168880455408	0.8090395480225989	0.5505575033751797	0.6793168880455408	1.0
9	9	0.6793168880455408	0.8090395480225989	0.5373807202315163	0.6793168880455408	1.0
11	9	0.763915547024952	0.8661588683351469	0.47110879136789346	0.7653846153846153	0.9974937343358395
5	9	0.7436399217221135	0.8495981630309989	0.4833886054314677	0.7385229540918163	1.0
14	9	0.7455621301775148	0.8542372881355932	0.49548349885146414	0.7455621301775148	1.0
15	9	0.6634615384615384	0.7967479674796748	0.57903364661094	0.6621621621621622	1.0
4	10	0.6686159844054581	0.8004694835680751	0.5413484275107295	0.6673189823874756	1.0
15	10	0.6596153846153846	0.7949015063731171	0.5712166406066709	0.6596153846153846	1.0
10	10	0.7150635208711433	0.8335100742311771	0.5471391123429457	0.7158469945355191	0.9974619289340102
1	10	0.8032454361054767	0.8888888888888888	0.3826553135875514	0.8	1.0
2	10	0.7085828343313373	0.8290398126463701	0.5488692425555117	0.708	1.0
14	11	0.7455621301775148	0.8542372881355932	0.5032978202417056	0.7455621301775148	1.0
8	11	0.720532319391635	0.8375690607734807	0.5296326803617295	0.720532319391635	1.0
11	11	0.763915547024952	0.8661588683351469	0.48317182451571417	0.7653846153846153	0.9974937343358395
7	11	0.7630057803468208	0.8646864686468647	0.5066815354094106	0.7616279069767442	1.0
6	11	0.7128309572301426	0.8323424494649228	0.541066337248655	0.7128309572301426	1.0
11	12	0.7658349328214972	0.8671023965141612	0.48050906764649326	0.766859344894027	0.9974937343358395
4	12	0.6647173489278753	0.7985948477751756	0.5780179391852016	0.6647173489278753	1.0
1	12	0.8377281947261663	0.9063231850117096	0.3496335970214162	0.8304721030042919	0.9974226804123711
2	12	0.7105788423153693	0.8300117233294255	0.5605332291912223	0.7094188376753507	1.0
