client_id	round	val_accuracy	val_f1_score	val_precision	val_recall
15	50	0.6538461538461539	0.7841726618705036	0.6659877800407332	0.9533527696793003
11	51	0.7715930902111324	0.8630609896432682	0.7978723404255319	0.9398496240601504
7	51	0.7533718689788054	0.847255369928401	0.797752808988764	0.9033078880407125
10	51	0.7005444646098004	0.8139797068771139	0.7322515212981744	0.916243654822335
3	51	0.7364485981308411	0.8413948256467941	0.73767258382643	0.9790575916230366
8	51	0.7110266159695817	0.8199052132701422	0.7440860215053764	0.9129287598944591
8	52	0.7110266159695817	0.8199052132701422	0.7440860215053764	0.9129287598944591
6	52	0.7006109979633401	0.8155583437892095	0.727069351230425	0.9285714285714286
5	52	0.7632093933463796	0.8588098016336057	0.75564681724846	0.9945945945945946
2	52	0.6946107784431138	0.8099378881987578	0.7228381374722838	0.9209039548022598
13	52	0.7782026768642447	0.8699551569506726	0.8100208768267223	0.9394673123486683
13	53	0.7782026768642447	0.8699551569506726	0.8100208768267223	0.9394673123486683
1	53	0.9452332657200812	0.9659520807061791	0.945679012345679	0.9871134020618557
5	53	0.7632093933463796	0.8588098016336057	0.75564681724846	0.9945945945945946
9	53	0.6793168880455408	0.7976047904191617	0.6981132075471698	0.9301675977653632
4	53	0.7037037037037037	0.81	0.7058823529411765	0.9501466275659824
13	54	0.739961759082218	0.8436781609195402	0.8030634573304157	0.8886198547215496
4	54	0.672514619883041	0.7889447236180904	0.6901098901098901	0.9208211143695014
8	54	0.688212927756654	0.8019323671497585	0.7394209354120267	0.8759894459102903
14	54	0.7258382642998028	0.8298653610771114	0.7722095671981777	0.8968253968253969
2	54	0.6786427145708582	0.7969735182849937	0.7198177676537585	0.8926553672316384
4	55	0.672514619883041	0.7889447236180904	0.6901098901098901	0.9208211143695014
3	55	0.7345794392523365	0.8397291196388262	0.7380952380952381	0.9738219895287958
9	55	0.6641366223908919	0.7849331713244229	0.6946236559139785	0.9022346368715084
10	55	0.6787658802177858	0.8	0.7209775967413442	0.8984771573604061
12	55	0.6776699029126214	0.7935323383084577	0.6965065502183406	0.9219653179190751
15	56	0.6384615384615384	0.7707317073170732	0.6624737945492662	0.9212827988338192
9	56	0.6641366223908919	0.7849331713244229	0.6946236559139785	0.9022346368715084
7	56	0.7398843930635838	0.8371531966224367	0.7958715596330275	0.8829516539440203
13	56	0.739961759082218	0.8436781609195402	0.8030634573304157	0.8886198547215496
6	56	0.6883910386965377	0.807061790668348	0.7223476297968398	0.9142857142857143
14	57	0.7258382642998028	0.8298653610771114	0.7722095671981777	0.8968253968253969
11	57	0.7504798464491362	0.8502304147465438	0.7867803837953091	0.924812030075188
3	57	0.7345794392523365	0.8397291196388262	0.7380952380952381	0.9738219895287958
7	57	0.7398843930635838	0.8371531966224367	0.7958715596330275	0.8829516539440203
13	57	0.739961759082218	0.8436781609195402	0.8030634573304157	0.8886198547215496
